r1bqk2r/ppppbppp/2nn4/3P4/B3p3/8/PPPN1PPP/RNBQ1RK1 b kq - 1 8,rnbqk2r/ppppbppp/3n4/3P4/B3p3/8/PPPN1PPP/RNBQ1RK1 w kq - 2 9
rnbqk2r/ppppbppp/3n4/3P4/B3p3/8/PPPN1PPP/RNBQ1RK1 w kq - 2 9,rnbqk2r/ppppbppp/3n4/3P4/B3p3/5P2/PPPN2PP/RNBQ1RK1 b kq - 0 9
rnbqk2r/ppppbppp/3n4/3P4/B3p3/5P2/PPPN2PP/RNBQ1RK1 b kq - 0 9,rnbqk2r/ppppbppp/3n4/3P4/B7/5p2/PPPN2PP/RNBQ1RK1 w kq - 0 10
rnbqk2r/ppppbppp/3n4/3P4/B7/5p2/PPPN2PP/RNBQ1RK1 w kq - 0 10,rnbqk2r/ppppbppp/3n4/3P4/B7/5N2/PPP3PP/RNBQ1RK1 b kq - 0 10
rnbqk2r/ppppbppp/3n4/3P4/B7/5N2/PPP3PP/RNBQ1RK1 b kq - 0 10,rnbq1rk1/ppppbppp/3n4/3P4/B7/5N2/PPP3PP/RNBQ1RK1 w - - 1 11
rnbq1rk1/ppppbppp/3n4/3P4/B7/5N2/PPP3PP/RNBQ1RK1 w - - 1 11,rnbq1rk1/ppppbppp/3n4/3P4/B7/3Q1N2/PPP3PP/RNB2RK1 b - - 2 11
rnbq1rk1/ppppbppp/3n4/3P4/B7/3Q1N2/PPP3PP/RNB2RK1 b - - 2 11,rnbqnrk1/ppppbppp/8/3P4/B7/3Q1N2/PPP3PP/RNB2RK1 w - - 3 12
rnbqnrk1/ppppbppp/8/3P4/B7/3Q1N2/PPP3PP/RNB2RK1 w - - 3 12,rnbqnrk1/ppppbppp/8/3P4/B1P5/3Q1N2/PP4PP/RNB2RK1 b - c3 0 12
rnbqnrk1/ppppbppp/8/3P4/B1P5/3Q1N2/PP4PP/RNB2RK1 b - c3 0 12,rnbq1rk1/ppppbppp/5n2/3P4/B1P5/3Q1N2/PP4PP/RNB2RK1 w - - 1 13
rnbq1rk1/ppppbppp/5n2/3P4/B1P5/3Q1N2/PP4PP/RNB2RK1 w - - 1 13,rnbq1rk1/ppppbppp/5n2/3P4/2P5/3Q1N2/PPB3PP/RNB2RK1 b - - 2 13
rnbq1rk1/ppppbppp/5n2/3P4/2P5/3Q1N2/PPB3PP/RNB2RK1 b - - 2 13,rnbq1rk1/ppp1bppp/3p1n2/3P4/2P5/3Q1N2/PPB3PP/RNB2RK1 w - - 0 14
rnbq1rk1/ppp1bppp/3p1n2/3P4/2P5/3Q1N2/PPB3PP/RNB2RK1 w - - 0 14,rnbq1rk1/ppp1bppp/3p1n2/3P2N1/2P5/3Q4/PPB3PP/RNB2RK1 b - - 1 14
rnbq1rk1/ppp1bppp/3p1n2/3P2N1/2P5/3Q4/PPB3PP/RNB2RK1 b - - 1 14,rnbq1rk1/ppp1bp1p/3p1np1/3P2N1/2P5/3Q4/PPB3PP/RNB2RK1 w - - 0 15
rnbq1rk1/ppp1bp1p/3p1np1/3P2N1/2P5/3Q4/PPB3PP/RNB2RK1 w - - 0 15,rnbq1rk1/ppp1bp1p/3p1np1/3P2N1/2P5/2NQ4/PPB3PP/R1B2RK1 b - - 1 15
rnbq1rk1/ppp1bp1p/3p1np1/3P2N1/2P5/2NQ4/PPB3PP/R1B2RK1 b - - 1 15,rn1q1rk1/ppp1bp1p/3p1np1/3P1bN1/2P5/2NQ4/PPB3PP/R1B2RK1 w - - 2 16
rn1q1rk1/ppp1bp1p/3p1np1/3P1bN1/2P5/2NQ4/PPB3PP/R1B2RK1 w - - 2 16,rn1q1rk1/ppp1bp1p/3p1np1/3P1RN1/2P5/2NQ4/PPB3PP/R1B3K1 b - - 0 16
rn1q1rk1/ppp1bp1p/3p1np1/3P1RN1/2P5/2NQ4/PPB3PP/R1B3K1 b - - 0 16,rn1q1rk1/ppp1bp1p/3p1n2/3P1pN1/2P5/2NQ4/PPB3PP/R1B3K1 w - - 0 17
rn1q1rk1/ppp1bp1p/3p1n2/3P1pN1/2P5/2NQ4/PPB3PP/R1B3K1 w - - 0 17,rn1q1rk1/ppp1bp1p/3p1n2/3P1pN1/2P5/2N4Q/PPB3PP/R1B3K1 b - - 1 17
rn1q1rk1/ppp1bp1p/3p1n2/3P1pN1/2P5/2N4Q/PPB3PP/R1B3K1 b - - 1 17,rn1q1r2/ppp1bpkp/3p1n2/3P1pN1/2P5/2N4Q/PPB3PP/R1B3K1 w - - 2 18
rn1q1r2/ppp1bpkp/3p1n2/3P1pN1/2P5/2N4Q/PPB3PP/R1B3K1 w - - 2 18,rn1q1r2/ppp1bpkp/3p1n2/3P1BN1/2P5/2N4Q/PP4PP/R1B3K1 b - - 0 18
rn1q1r2/ppp1bpkp/3p1n2/3P1BN1/2P5/2N4Q/PP4PP/R1B3K1 b - - 0 18,rn1q3r/ppp1bpkp/3p1n2/3P1BN1/2P5/2N4Q/PP4PP/R1B3K1 w - - 1 19
rn1q3r/ppp1bpkp/3p1n2/3P1BN1/2P5/2N4Q/PP4PP/R1B3K1 w - - 1 19,rn1q3r/ppp1bpkp/3p1n1Q/3P1BN1/2P5/2N5/PP4PP/R1B3K1 b - - 2 19
rn1q3r/ppp1bpkp/3p1n1Q/3P1BN1/2P5/2N5/PP4PP/R1B3K1 b - - 2 19,rn1q3r/ppp1bp1p/3p1n1k/3P1BN1/2P5/2N5/PP4PP/R1B3K1 w - - 0 20
rn1q3r/ppp1bp1p/3p1n1k/3P1BN1/2P5/2N5/PP4PP/R1B3K1 w - - 0 20,rn1q3r/ppp1bN1p/3p1n1k/3P1B2/2P5/2N5/PP4PP/R1B3K1 b - - 0 20
rn1q3r/ppp1bN1p/3p1n1k/3P1B2/2P5/2N5/PP4PP/R1B3K1 b - - 0 20,rn1q3r/ppp1bNkp/3p1n2/3P1B2/2P5/2N5/PP4PP/R1B3K1 w - - 1 21
